CP,city,Province,Region,cases,pop,superf,lat,long,Incidence_rate,Density
13010,Grobbendonk,Antwerpen,Flanders,1367,11249,28.368580763336,51.18870335,4.7318844302,0.121521913058939,396.530235116252
13011,Herentals,Antwerpen,Flanders,3958,28194,47.947496429945,51.1855514,4.83464460985,0.140384478967156,588.018188628339
13012,Herenthout,Antwerpen,Flanders,1353,9185,23.607913703273,51.1392427,4.7543972,0.147305389221557,389.06445166845
13013,Herselt,Antwerpen,Flanders,1748,14649,52.371906650555,51.0554081,4.90180800314,0.119325551232166,279.711030910973
13014,Hoogstraten,Antwerpen,Flanders,3902,21560,105.394704312719,51.39574085,4.74406564142,0.180983302411874,204.564357769142
13016,Hulshout,Antwerpen,Flanders,1364,10553,17.378648795747,51.0753923,4.7885461,0.129252345304653,607.23938460524
13017,Kasterlee,Antwerpen,Flanders,3147,19052,72.269808034332,51.2407915,4.967812,0.165179508712996,263.623226879879
13019,Lille,Antwerpen,Flanders,2479,16517,59.619262888689,51.238218,4.8242404,0.150087788339287,277.041331940614
13021,Meerhout,Antwerpen,Flanders,1497,10279,36.539314194448004,51.1317433,5.0772388,0.145636735090962,281.313435312419
13023,Merksplas,Antwerpen,Flanders,1567,8616,44.6059946395437,51.3580597,4.8627541,0.181870937790158,193.15789435086
13025,Mol,Antwerpen,Flanders,5632,37021,114.545494517251,51.1840421,5.1155267,0.152129872234678,323.199093565609
13029,Olen,Antwerpen,Flanders,2058,12600,23.123925561258,51.1438611,4.8597257,0.163333333333333,544.890181670111
13031,Oud-Turnhout,Antwerpen,Flanders,2200,14201,39.169415525824,51.3178319,4.9817086,0.154918667699458,362.553278096208
13035,Ravels,Antwerpen,Flanders,2106,15104,95.134318106708,51.3808625,5.01981229195,0.139433262711864,158.764999850617
13036,Retie,Antwerpen,Flanders,1943,11582,48.499438381791,51.2675862,5.0843883,0.167760317734415,238.806889037058
13037,Rijkevorsel,Antwerpen,Flanders,2253,12262,46.837742706115,51.3495046,4.760708,0.183738378731039,261.797415749481
13040,Turnhout,Antwerpen,Flanders,7140,45874,56.7115681054691,51.3233812,4.948461,0.155643719754109,808.900221462507
13044,Vorselaar,Antwerpen,Flanders,916,7995,27.623409313146,51.2023448,4.769482,0.114571607254534,289.428430407219
13046,Vosselaar,Antwerpen,Flanders,1768,11443,11.832710720794,51.3129153,4.8878026,0.154504937516386,967.06496676969
13049,Westerlo,Antwerpen,Flanders,3590,25288,55.468680937188,51.086694,4.9168675,0.141964568174628,455.896905654486
13053,Laakdal,Antwerpen,Flanders,2291,16293,42.426613765645,51.0802695,5.0073022,0.140612532989627,384.02782013193
